#--------------------------#
#PLATO:: 'Box_ODE' app
#Database (path to): '/Users/ecisneros/Packages/plato-database/'
#Mixture:            'air5'
#Kinetics:           'air5'
#Transfer:           'TTv'
# t [s]  Y_N  Y_O  Y_N2  Y_NO  Y_O2  Th [K]  Tv [K]  rho [kg/m^3]  p [Pa]  n [1/m^3]  E [J/kg]
   1.001441268950E-05   5.091141149017E-09   2.366898677569E-08   7.670829435343E-01   1.074322366144E-07   2.329169202734E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000053170E+04   1.448594141720E+23   6.906619813200E+06
   1.031785943870E-05   5.259198204839E-09   2.437042813384E-08   7.670829401981E-01   1.142187999612E-07   2.329169159534E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000054780E+04   1.448594142880E+23   6.906619851510E+06
   1.052524843350E-05   5.374058349949E-09   2.484982149398E-08   7.670829378618E-01   1.189770941239E-07   2.329169129373E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000055880E+04   1.448594143680E+23   6.906619878060E+06
   1.084417401660E-05   5.550691137465E-09   2.558703981916E-08   7.670829341809E-01   1.264846848346E-07   2.329169081967E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000057570E+04   1.448594144910E+23   6.906619919470E+06
   1.106214193440E-05   5.671409355732E-09   2.609088812717E-08   7.670829316029E-01   1.317483252931E-07   2.329169048865E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000058730E+04   1.448594145750E+23   6.906619948170E+06
   1.139733592750E-05   5.857050695010E-09   2.686571368073E-08   7.670829275409E-01   1.400529457594E-07   2.329168996833E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000060510E+04   1.448594147030E+23   6.906619992950E+06
   1.162642239970E-05   5.983929206911E-09   2.739526047190E-08   7.670829246962E-01   1.458751807752E-07   2.329168960495E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000061720E+04   1.448594147920E+23   6.906620024000E+06
   1.197871465520E-05   6.179046561997E-09   2.820960246741E-08   7.670829202136E-01   1.550607944379E-07   2.329168903370E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000063600E+04   1.448594149270E+23   6.906620072460E+06
   1.221948683980E-05   6.312398222849E-09   2.876616020918E-08   7.670829170744E-01   1.615004711771E-07   2.329168863466E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000064870E+04   1.448594150200E+23   6.906620106070E+06
   1.258974954090E-05   6.517467863740E-09   2.962204254682E-08   7.670829121268E-01   1.716598821301E-07   2.329168800738E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000066840E+04   1.448594151620E+23   6.906620158530E+06
   1.284280352670E-05   6.657621336888E-09   3.020699082855E-08   7.670829086617E-01   1.787820251813E-07   2.329168756917E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000068180E+04   1.448594152590E+23   6.906620194930E+06
   1.323195334670E-05   6.873150861178E-09   3.110653255809E-08   7.670829032011E-01   1.900177660176E-07   2.329168688015E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000070250E+04   1.448594154090E+23   6.906620251770E+06
   1.349791562910E-05   7.020453059089E-09   3.172131963524E-08   7.670828993779E-01   1.978942219610E-07   2.329168639861E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000071660E+04   1.448594155110E+23   6.906620291220E+06
   1.376922375330E-05   7.170715815261E-09   3.234846416671E-08   7.670828953992E-01   2.060941832536E-07   2.329168589874E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000073100E+04   1.448594156150E+23   6.906620331960E+06
   1.418644503260E-05   7.401791475524E-09   3.331289591615E-08   7.670828891300E-01   2.190297405846E-07   2.329168511256E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000075320E+04   1.448594157760E+23   6.906620395610E+06
   1.447159259780E-05   7.559718555127E-09   3.397203175863E-08   7.670828847399E-01   2.280974405448E-07   2.329168456309E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000076830E+04   1.448594158860E+23   6.906620439800E+06
   1.491009635540E-05   7.802580470391E-09   3.498566022420E-08   7.670828778191E-01   2.424014774456E-07   2.329168369912E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000079160E+04   1.448594160540E+23   6.906620508850E+06
   1.520978931230E-05   7.968562769471E-09   3.567841932272E-08   7.670828729729E-01   2.524282027418E-07   2.329168309519E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000080750E+04   1.448594161690E+23   6.906620556810E+06
   1.567066116850E-05   8.223812060300E-09   3.674375413663E-08   7.670828653345E-01   2.682446644423E-07   2.329168214533E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000083200E+04   1.448594163470E+23   6.906620631760E+06
   1.598564147810E-05   8.398260408113E-09   3.747185168876E-08   7.670828599850E-01   2.793312779571E-07   2.329168148136E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000084870E+04   1.448594164680E+23   6.906620683830E+06
   1.647002243080E-05   8.666528848162E-09   3.859153051046E-08   7.670828515535E-01   2.968192089227E-07   2.329168043692E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000087440E+04   1.448594166540E+23   6.906620765240E+06
   1.680106990180E-05   8.849875023279E-09   3.935676921377E-08   7.670828456481E-01   3.090771529392E-07   2.329167970681E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000089200E+04   1.448594167810E+23   6.906620821820E+06
   1.731015915120E-05   9.131826601750E-09   4.053356426197E-08   7.670828363404E-01   3.284122785935E-07   2.329167855819E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000091900E+04   1.448594169770E+23   6.906620910290E+06
   1.765809337020E-05   9.324524400031E-09   4.133783877840E-08   7.670828298222E-01   3.419646830104E-07   2.329167775508E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000093750E+04   1.448594171110E+23   6.906620971780E+06
   1.801302106710E-05   9.521095054558E-09   4.215827961331E-08   7.670828230397E-01   3.560721962262E-07   2.329167692087E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000095630E+04   1.448594172470E+23   6.906621035370E+06
   1.855883364870E-05   9.823383320594E-09   4.341996534376E-08   7.670828123502E-01   3.783240635990E-07   2.329167560824E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000098530E+04   1.448594174570E+23   6.906621134860E+06
   1.893186622520E-05   1.002998004893E-08   4.428225799704E-08   7.670828048640E-01   3.939204092962E-07   2.329167469034E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000100510E+04   1.448594176010E+23   6.906621204030E+06
   1.950552073400E-05   1.034768646974E-08   4.560830409869E-08   7.670827930629E-01   4.185201128482E-07   2.329167324610E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000103560E+04   1.448594178210E+23   6.906621312280E+06
   1.989758172080E-05   1.056482425689E-08   4.651457923973E-08   7.670827847979E-01   4.357616984010E-07   2.329167223610E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000105640E+04   1.448594179720E+23   6.906621387570E+06
   2.050049837480E-05   1.089874294286E-08   4.790825974216E-08   7.670827717700E-01   4.629558534875E-07   2.329167064672E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000108840E+04   1.448594182040E+23   6.906621505420E+06
   2.091255841230E-05   1.112695777254E-08   4.886076292932E-08   7.670827626445E-01   4.820155045666E-07   2.329166953522E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000111030E+04   1.448594183620E+23   6.906621587410E+06
   2.154622987500E-05   1.147790953938E-08   5.032553511578E-08   7.670827482607E-01   5.120766344683E-07   2.329166778592E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000114390E+04   1.448594186060E+23   6.906621715780E+06
   2.197930911560E-05   1.171776552927E-08   5.132662551847E-08   7.670827381864E-01   5.331452899320E-07   2.329166656239E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000116690E+04   1.448594187730E+23   6.906621805100E+06
   2.264530419140E-05   1.208661922195E-08   5.286611577638E-08   7.670827223064E-01   5.663744589579E-07   2.329166463664E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000120220E+04   1.448594190290E+23   6.906621944990E+06
   2.310047482580E-05   1.233871017887E-08   5.391827182882E-08   7.670827111832E-01   5.896630673667E-07   2.329166328968E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000122640E+04   1.448594192040E+23   6.906622042360E+06
   2.380044234380E-05   1.272637896075E-08   5.553629152733E-08   7.670826936505E-01   6.263928947062E-07   2.329166116940E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000126360E+04   1.448594194730E+23   6.906622194890E+06
   2.427883125500E-05   1.299132898058E-08   5.664211808885E-08   7.670826813688E-01   6.521345133900E-07   2.329165968632E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000128900E+04   1.448594196570E+23   6.906622301070E+06
   2.476683578330E-05   1.326160444957E-08   5.777017175365E-08   7.670826685917E-01   6.789279799993E-07   2.329165814485E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000131490E+04   1.448594198440E+23   6.906622411020E+06
   2.551729570470E-05   1.367723760670E-08   5.950490781781E-08   7.670826484508E-01   7.211845874591E-07   2.329165571825E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000135470E+04   1.448594201330E+23   6.906622583300E+06
   2.603019336840E-05   1.396129971513E-08   6.069050352896E-08   7.670826343431E-01   7.507989407661E-07   2.329165402061E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000138190E+04   1.448594203300E+23   6.906622703280E+06
   2.681893428800E-05   1.439813414207E-08   6.251372852330E-08   7.670826121043E-01   7.975037394154E-07   2.329165134801E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000142380E+04   1.448594206340E+23   6.906622891330E+06
   2.735799488730E-05   1.469668613398E-08   6.375980150072E-08   7.670825965267E-01   8.302350093187E-07   2.329164947818E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000145240E+04   1.448594208410E+23   6.906623022320E+06
   2.818696952070E-05   1.515580160697E-08   6.567603197470E-08   7.670825719720E-01   8.818548511578E-07   2.329164653413E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000149650E+04   1.448594211600E+23   6.906623227670E+06
   2.875352762810E-05   1.546958369883E-08   6.698566537421E-08   7.670825547723E-01   9.180300294962E-07   2.329164447424E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000152650E+04   1.448594213770E+23   6.906623370740E+06
   2.962478829910E-05   1.595212191464E-08   6.899963715318E-08   7.670825276591E-01   9.750803316790E-07   2.329164123088E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000157280E+04   1.448594217120E+23   6.906623595080E+06
   3.022024656400E-05   1.628190991512E-08   7.037607491934E-08   7.670825086663E-01   1.015060781108E-06   2.329163896149E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000160440E+04   1.448594219410E+23   6.906623751420E+06
   3.113595028540E-05   1.678906225157E-08   7.249277929584E-08   7.670824787274E-01   1.078111403184E-06   2.329163538794E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000165300E+04   1.448594222940E+23   6.906623996610E+06
   3.176178290630E-05   1.713567265088E-08   7.393942904421E-08   7.670824577548E-01   1.122296285260E-06   2.329163288738E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000168620E+04   1.448594225340E+23   6.906624167510E+06
   3.240019476280E-05   1.748924988822E-08   7.541515635668E-08   7.670824359348E-01   1.168283929628E-06   2.329163028769E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000172010E+04   1.448594227800E+23   6.906624344630E+06
   3.338195309460E-05   1.803298567154E-08   7.768454943169E-08   7.670824015376E-01   1.240806892183E-06   2.329162619380E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000177230E+04   1.448594231570E+23   6.906624622500E+06
   3.405293037190E-05   1.840459885379E-08   7.923555334921E-08   7.670823774427E-01   1.291629008773E-06   2.329162332881E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000180790E+04   1.448594234150E+23   6.906624816230E+06
   3.508476824540E-05   1.897607059370E-08   8.162070770608E-08   7.670823394592E-01   1.371775071616E-06   2.329161881690E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000186270E+04   1.448594238120E+23   6.906625120210E+06
   3.578997210720E-05   1.936663978995E-08   8.325082796075E-08   7.670823128518E-01   1.427938630913E-06   2.329161565921E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000190010E+04   1.448594240830E+23   6.906625332190E+06
   3.687444408240E-05   1.996726153231E-08   8.575764897426E-08   7.670822709074E-01   1.516507086761E-06   2.329161068606E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000195770E+04   1.448594245000E+23   6.906625664870E+06
   3.761562042850E-05   2.037775304294E-08   8.747092163758E-08   7.670822415252E-01   1.578572106626E-06   2.329160720540E-01   1.000000000000E+04   5.000000000000E+02   6.939810430320E-03   2.000000199700E+04   1.448594247850E+23   6.906625896910E+06
